Area,Date,Room,Supply,Demand,Occupancy,ADR,RevPAR,Room_Revenue,F&B_Revenue,Total_Revenue
Hualien,1/31/2020,1286,39866,20761,0.52,4129.7,2150.62,85736711,57657892,157866836
Hualien,2/29/2020,1286,37294,15833,0.42,3359.19,1426.13,53185992,29065678,92421510
Hualien,3/31/2020,1286,39866,11162,0.28,2686.37,752.15,29985301,18765341,55290111
Hualien,4/30/2020,1286,38580,11334,0.29,2908.11,854.34,32960575,16172167,55769274
Hualien,5/31/2020,1286,39866,19633,0.49,2434.19,1198.78,47790479,29761842,86785896
Hualien,6/30/2020,1286,38580,28101,0.73,2942.15,2143.01,82677486,42394265,139692424
Hualien,7/31/2020,1286,39866,32243,0.81,3650.16,2952.2,117692246,62353990,204143862
Hualien,8/31/2020,1286,39866,32118,0.81,4267.48,3438.09,137062922,66571793,230905588
Hualien,9/30/2020,1286,38580,27541,0.71,3500.76,2499.08,96414437,54868005,168435217
Hualien,10/31/2020,1286,39866,29234,0.73,3654.6,2679.94,106838555,56312298,184664872
Hualien,11/30/2020,1286,38580,23997,0.62,3654.57,2273.16,87698604,48794223,153881201
Hualien,12/31/2020,1287,39897,18828,0.47,3956.79,1867.27,74498454,48538090,139471318
Kaohsiung,1/31/2020,3149,97619,59298,0.61,2942.22,1787.23,174467903,335165315,542424279
Kaohsiung,2/29/2020,3149,91321,29233,0.32,2429.08,777.58,71009158,127830420,219054389
Kaohsiung,3/31/2020,3149,97619,16008,0.16,2318.27,380.16,37110869,93745035,150400373
Kaohsiung,4/30/2020,3149,94470,11651,0.12,2285.91,281.92,26633095,65566298,105366528
Kaohsiung,5/31/2020,3149,97619,16442,0.17,2203.08,371.07,36223038,104371823,160976700
Kaohsiung,6/30/2020,3149,94470,34855,0.37,2424.09,894.38,84491722,130378404,248301616
Kaohsiung,7/31/2020,3149,97619,50025,0.51,2633.04,1349.3,131717699,173486643,335139910
Kaohsiung,8/31/2020,3149,97619,57004,0.58,2679.07,1564.43,152717818,206764439,392481692
Kaohsiung,9/30/2020,3149,94470,47843,0.51,2369.21,1199.86,113350309,185942226,377795249
Kaohsiung,10/31/2020,3154,97774,56532,0.58,2534.4,1465.37,143274627,212834117,385153828
Kaohsiung,11/30/2020,3149,94470,48328,0.51,2350.62,1202.51,113600867,187597372,328317411
Kaohsiung,12/31/2020,3149,97619,49870,0.51,2646.54,1352.02,131982967,237168576,401156540
Others,1/31/2020,4735,146785,79007,0.54,4408.66,2372.96,348314753,382409828,810768132
Others,2/29/2020,4735,137315,50966,0.37,3615.56,1341.96,184270830,165462723,399016876
Others,3/31/2020,4735,146785,32214,0.22,2964.52,650.6,95498999,104598671,228455229
Others,4/30/2020,4734,142020,28163,0.2,2961.33,587.24,83399879,85961557,194780695
Others,5/31/2020,4734,146754,44115,0.3,2968.11,892.23,130937962,165643273,361500227
Others,6/30/2020,4419,132570,67066,0.51,3329.44,1684.34,223292549,208581213,495335200
Others,7/31/2020,4419,136989,91844,0.67,3851.17,2582.01,353706854,275413541,711773007
Others,8/31/2020,4417,136927,98780,0.72,4047.06,2919.58,399769077,324388745,820554323
Others,9/30/2020,4420,132600,79687,0.6,3437.2,2065.61,273899982,270501928,618296308
Others,10/31/2020,4420,137020,89621,0.65,3798.3,2484.37,340407744,299779003,726732792
Others,11/30/2020,4432,132960,73472,0.55,3573.02,1974.41,262517112,255964603,583809332
Others,12/31/2020,4432,137392,75079,0.55,3822.37,2088.77,286979864,275397212,632187876
Scenery,1/31/2020,2864,88784,49517,0.56,6295.79,3511.31,311748397,146195913,500694626
Scenery,2/29/2020,2864,83056,42179,0.51,5224.48,2653.19,220363252,90484701,343249853
Scenery,3/31/2020,2864,88784,32099,0.36,4741.59,1714.27,152200169,67219700,245823526
Scenery,4/30/2020,2864,85920,24085,0.28,5207.22,1459.68,125415969,51934975,199096704
Scenery,5/31/2020,2862,88722,35473,0.4,4903.54,1960.54,173943451,75105422,280460145
Scenery,6/30/2020,2862,85860,54467,0.63,5269.34,3342.71,287005127,115118006,453731429
Scenery,7/31/2020,2864,88784,63925,0.72,6199.62,4463.76,396310530,151268451,601660272
Scenery,8/31/2020,2862,88722,62650,0.71,6746.49,4763.95,422667298,147086356,625079961
Scenery,9/30/2020,2862,85860,57511,0.67,5260.99,3523.93,302564815,134861886,482173381
Scenery,10/31/2020,2862,88722,63610,0.72,5856.39,4198.79,372525044,149090191,571521760
Scenery,11/30/2020,2862,85860,53501,0.62,5638.64,3513.55,301673063,132320109,476517418
Scenery,12/31/2020,2862,88722,53207,0.6,5890.22,3532.39,313400883,145632693,503984025
Taichung,1/31/2020,1484,46004,24939,0.54,2901.24,1572.78,72354009,166481104,268336135
Taichung,2/29/2020,1484,43036,16549,0.38,2422.25,931.45,40085791,48793077,105130762
Taichung,3/31/2020,1484,46004,10536,0.23,2264.36,518.59,23857269,35520621,73031687
Taichung,4/30/2020,1484,44520,9675,0.22,2269.57,493.22,21958113,28110479,64110211
Taichung,5/31/2020,1484,46004,12186,0.26,2270.57,601.45,27669186,51985241,100261328
Taichung,6/30/2020,1484,44520,19922,0.45,2412,1079.33,48051899,69481933,139444700
Taichung,7/31/2020,1484,46004,27361,0.59,2483.28,1476.94,67944998,79270563,172903374
Taichung,8/31/2020,1484,46004,31307,0.68,2603.6,1771.82,81510792,94124777,205500215
Taichung,9/30/2020,1484,44520,28909,0.65,2395.27,1555.36,69244780,109747270,206479229
Taichung,10/31/2020,1484,46004,32190,0.7,2563.85,1793.98,82530390,88950737,199311804
Taichung,11/30/2020,1484,44520,24286,0.55,2436.1,1328.91,59163112,85998973,169970488
Taichung,12/31/2020,1484,46004,25051,0.54,2471.27,1345.7,61907670,97533683,186519692
Taipei,1/31/2020,11251,348781,217938,0.62,4504.86,2814.89,981779490,1732038468,3078170169
Taipei,2/29/2020,11177,324133,98925,0.31,3896.58,1189.23,385469414,643959444,1230349337
Taipei,3/31/2020,11259,349029,37835,0.11,3714.46,402.65,140536529,467940797,778224388
Taipei,4/30/2020,11259,337770,29447,0.09,3271,285.17,96320992,385070249,629115519
Taipei,5/31/2020,11259,349029,43264,0.12,2949.82,365.65,127620805,681251915,1019423373
Taipei,6/30/2020,11259,337770,66712,0.2,2904.82,573.72,193786199,785011630,1175745060
Taipei,7/31/2020,11120,344720,89133,0.26,3022.3,781.46,269386399,887936336,1376915761
Taipei,8/31/2020,11120,344720,124151,0.36,2833.91,1020.63,351832812,941810619,1538062825
Taipei,9/30/2020,11120,333600,105409,0.32,3008.76,950.69,317150358,1022047703,1541256657
Taipei,10/31/2020,11100,344100,122211,0.36,3124.25,1109.61,381818148,1048135087,1650824173
Taipei,11/30/2020,11099,332970,92373,0.28,3215.87,892.15,297059439,1004519784,1513108086
Taipei,12/31/2020,11055,342705,128752,0.38,3534.55,1327.91,455081004,1259684310,1973970596
Taoyuan-Hsinchu-Miaoli,1/31/2020,3821,118451,70578,0.6,2924.55,1742.57,206408880,338933951,595752651
Taoyuan-Hsinchu-Miaoli,2/29/2020,3814,110606,31952,0.29,2812.26,812.41,89857450,122055680,235867540
Taoyuan-Hsinchu-Miaoli,3/31/2020,3818,118358,17337,0.15,2677.91,392.26,46426918,105393113,167361899
Taoyuan-Hsinchu-Miaoli,4/30/2020,3818,114540,15422,0.13,2548.95,343.2,39309975,98110291,151392696
Taoyuan-Hsinchu-Miaoli,5/31/2020,3635,112685,17611,0.16,2685.16,419.65,47288371,120619616,194060640
Taoyuan-Hsinchu-Miaoli,6/30/2020,4044,121320,22292,0.18,3047.13,559.9,67926662,154632391,246171190
Taoyuan-Hsinchu-Miaoli,7/31/2020,3656,113336,36814,0.32,2575.87,836.7,94828055,170342903,294276272
Taoyuan-Hsinchu-Miaoli,8/31/2020,3656,113336,49152,0.43,2896.63,1256.22,142375214,222014408,413618734
Taoyuan-Hsinchu-Miaoli,9/30/2020,3656,109680,46312,0.42,2542.11,1073.4,117730186,205213985,355314369
Taoyuan-Hsinchu-Miaoli,10/31/2020,3656,113336,54438,0.48,2987.33,1434.89,162624227,243725408,448369913
Taoyuan-Hsinchu-Miaoli,11/30/2020,3656,109680,43444,0.4,2915.29,1154.74,126652055,205311641,365531607
Taoyuan-Hsinchu-Miaoli,12/31/2020,3656,113336,40392,0.36,3392.4,1209.02,137025713,246272696,416825088
Overall,1/31/2020,28590,886290,522038,0.59,4177.49,2460.61,2180810143,3158882471,5954012828
Overall,2/29/2020,28509,826761,285637,0.35,3655.84,1263.05,1044241887,1227651723,2625090267
Overall,3/31/2020,28595,886445,157191,0.18,3343.81,592.95,525616054,893183278,1698587213
Overall,4/30/2020,28594,857820,129777,0.15,3282.54,496.61,425998598,730926016,1399631627
Overall,5/31/2020,28409,880679,188724,0.21,3134.07,671.61,591473292,1228739132,2203468309
Overall,6/30/2020,28503,855090,293415,0.34,3364.63,1154.54,987231644,1505597842,2898421619
Overall,7/31/2020,27978,867318,391345,0.45,3658.12,1650.59,1431586781,1800072427,3696812458
Overall,8/31/2020,27974,867194,455162,0.52,3708.43,1946.43,1687935933,2002761137,4226203338
Overall,9/30/2020,27977,839310,393212,0.47,3281.58,1537.4,1290354867,1983183003,3749750410
Overall,10/31/2020,27962,866822,447836,0.52,3550.45,1834.31,1590018735,2098826841,4166579142
Overall,11/30/2020,27968,839040,359401,0.43,3473.46,1487.85,1248364252,1920506705,3591135543
Overall,12/31/2020,27925,865675,391179,0.45,3734.55,1687.56,1460876555,2310227260,4254115135
